A_id,B_id
738,778
738,33547
738,779
390,788
390,33557
390,789
390,792
390,33561
390,793
390,794
726,33574
726,806
726,33576
726,33577
726,810
726,812
33149,821
33149,822
133,33593
133,825
133,33595
133,828
133,33596
133,33598
133,830
133,33599
32898,33610
32898,33611
32898,843
32898,33612
309,853
309,855
309,860
309,861
32809,871
32809,873
33416,33646
33416,878
128,889
128,33657
128,33658
128,33661
128,33664
33429,33669
33429,33670
33429,903
33429,33672
33429,33673
33429,906
227,33689
227,921
227,923
227,33692
227,33694
227,928
227,33697
32966,941
32966,33710
32966,33711
32966,943
33428,33724
33428,956
33428,957
33428,33726
32965,963
32965,33731
32965,33734
32965,33735
32965,33736
427,973
427,975
427,977
427,33745
427,979
427,980
427,982
427,984
32955,33763
32955,995
32955,996
33302,998
33302,999
33052,33772
33052,33773
33052,33774
33052,33776
33052,1010
33052,33778
33052,1012
33052,33780
141,33787
141,1019
141,33789
141,1021
141,33790
141,1025
33459,1032
33459,33801
33459,33802
33459,33804
33459,1036
33459,33805
33459,1037
33459,33807
33459,1040
33536,1049
33536,33819
33536,1051
33536,1052
672,1063
672,33832
672,33833
672,1068
672,1069
672,33837
672,33838
693,33855
693,33856
693,1089
693,33857
693,1090
693,1091
251,33870
251,33872
251,33875
251,1110
251,33878
251,1113
251,1114
251,1115
213,33894
213,33895
33509,33907
33509,33908
33509,1140
33509,33909
166,33915
166,1148
166,1153
166,33921
166,1154
166,1156
166,33924
166,33926
166,1159
166,33927
659,1177
659,1178
659,33946
659,1180
659,1184
659,33952
659,33953
659,1185
592,1202
592,33970
592,1206
279,33988
279,1223
279,33991
279,33992
279,33993
279,1225
279,33994
33053,1233
33053,34002
33053,34003
33053,1237
33053,34009
33053,1243
668,1256
668,1259
668,34027
668,1260
668,34028
654,1269
654,1270
654,34039
654,34040
654,1272
654,34041
445,1284
445,34052
445,34053
445,34054
445,1287
445,1288
445,34057
445,1290
471,34066
471,1298
471,1299
471,1300
471,1301
471,34070
597,1315
597,34084
597,34085
597,1318
597,34086
597,1319
597,1320
597,34092
597,1324
597,1325
33217,1343
33217,34116
33217,1348
33217,34119
33205,1360
33205,34130
33205,34131
529,34145
529,34149
529,1384
529,34152
529,1385
529,34155
529,1387
529,34156
529,1388
32808,1396
32808,34164
32808,34165
33545,1403
33545,34172
33545,1404
33545,1405
33545,1406
33545,34174
33545,1407
33545,1408
33545,1414
33545,34183
397,1426
397,1431
397,1432
397,34200
104,1444
104,34213
104,1446
104,34219
104,1452
104,1453
104,1455
104,34224
104,34226
104,1461
733,34234
733,1467
733,34235
733,34236
733,1469
733,34238
733,1470
733,1471
733,1472
33353,34245
33353,34246
33353,1479
33353,1480
33353,1481
33353,34250
33353,34251
33353,1484
32,34257
32,34258
428,34262
428,1495
428,34264
428,34265
428,1498
428,34268
428,1501
428,34269
428,1503
33285,1511
33285,1512
33285,34281
33285,34282
33285,34283
429,34289
429,34290
32867,1529
32867,1530
32867,34298
32867,1533
32867,34302
32867,34303
32867,34304
32867,34305
32867,34306
32867,1539
33361,1548
33361,1551
33361,34319
33361,1554
33361,1555
33361,34323
33361,34325
33361,1560
33465,1572
33465,34343
33465,1578
33465,34349
33465,34350
33465,1582
33465,34352
33465,1586
33465,34355
33465,1589
505,1600
505,34369
505,34370
505,1602
505,34371
505,34373
505,1607
679,1622
679,34391
679,1626
679,34395
679,1628
679,34397
679,34398
679,34399
679,1631
679,34400
33227,34402
33227,1638
33227,34408
33227,34409
33227,1642
33227,1643
132,34422
132,1657
132,34425
132,1659
132,34428
132,1660
132,34430
132,34434
132,34436
132,34437
549,1674
549,1675
549,34443
549,1676
549,1677
549,1678
197,34449
197,1682
197,34453
197,1686
197,1687
197,34456
33146,1702
33146,34471
33146,1704
33146,34472
33146,1705
33146,1706
33146,34476
33146,1709
32908,34486
32908,1718
32908,34487
33239,34498
33239,34499
32789,34515
32789,34516
32789,1749
32789,34518
32789,34519
32789,1753
32789,34521
32789,1754
32789,34523
32789,1757
33232,1761
33232,34529
33232,34531
33232,1766
33232,34535
33232,1769
33232,1770
33232,34540
33232,1774
327,1782
327,34551
327,1783
327,1784
327,1786
327,34555
327,1787
327,1788
327,1789
36,34569
36,34570
36,1802
36,34572
36,1804
36,34573
533,34578
533,1810
533,34579
533,1811
533,1813
533,34581
533,1817
533,1819
533,34587
33035,34598
33035,34599
33035,34600
33035,1832
33035,1833
33035,1836
33035,34604
33263,1850
33263,1852
33263,1853
33263,34621
33263,1855
33245,34629
33245,1861
33245,34633
33245,34634
33245,1866
33245,1869
33245,1870
33245,34639
33245,1873
33245,1874
32858,1890
32858,34658
32858,1891
32858,34661
32858,1894
32858,34663
32858,1896
32858,34666
32858,1901
32858,34670
32954,34686
32954,1919
32954,1921
32954,34690
32954,1924
32954,1926
32954,34697
32954,1929
610,34708
610,1941
610,34711
610,1943
33088,34715
33088,1948
33088,1949
33088,34719
405,1958
405,34727
405,1960
405,34730
405,1964
405,34732
405,1965
405,34734
405,34736
405,34737
239,1979
239,34747
239,1980
33436,34759
33436,1992
33436,34762
33436,1994
33436,1995
33436,34764
33436,34765
33436,1999
33436,2002
33153,34774
33153,2006
767,2013
767,2014
33279,34792
33279,2025
33279,34793
33279,34795
33313,2034
33313,34803
33313,2035
550,34812
550,34813
550,34814
550,2046
550,2047
550,34817
550,34819
550,2051
550,2053
32906,2059
32906,34827
32906,2060
32906,34829
32906,2062
32906,34831
32906,2064
32906,2066
32906,34836
32906,34838
120,2084
120,34852
120,34853
33430,2099
33430,34869
33430,34870
33430,2102
33430,34872
33430,2104
33430,2105
435,34889
435,34890
435,34891
435,2123
435,2124
435,2127
435,34895
435,2128
468,34901
468,2133
468,2138
468,34906
