A_id,B_id
33614,1239
33614,1240
33614,34008
33614,34010
33614,1242
33614,1244
33614,34013
33614,1246
33672,34029
33672,1262
33672,34031
33672,1265
33672,34037
33672,1275
33672,1277
888,1291
888,34060
888,34063
888,1297
888,34070
592,1312
592,34080
592,34081
592,1313
592,34085
592,1319
592,34088
592,34089
592,1322
34000,1324
34000,1326
34000,34095
34000,34096
34000,34098
287,34106
287,34107
287,1339
287,34108
287,34111
287,34112
287,1349
33086,1359
33086,1360
33086,1361
33086,34130
33086,1362
33086,1363
33786,1365
33786,34134
33786,1366
1125,1384
1125,34153
1125,1387
32894,1394
32894,1395
32894,34164
32894,34166
33574,1405
33574,34173
33574,1408
33574,1409
33574,1411
33574,1413
33574,1414
33574,1417
33574,34187
32916,1429
32916,34197
938,34202
938,1434
33928,34212
33928,1445
33560,1451
33560,34219
33560,1452
33560,34221
33560,1455
33560,1457
33560,1458
33560,34227
33167,1473
33167,1474
33167,1475
33167,1478
33285,1484
33285,34253
33285,1490
33285,34259
33285,34260
33285,1492
351,34272
351,34273
351,1506
351,34274
351,1507
351,1508
351,1510
351,1511
32826,1524
32826,34294
32826,1527
32826,34298
32826,1531
32826,34301
1016,34304
1016,1538
1016,34307
936,1546
936,34315
936,1548
936,34318
936,34320
936,1553
936,34321
936,1554
936,34323
537,34326
537,34327
537,34328
537,1560
537,1562
537,34330
410,34341
410,1575
410,34343
410,34344
410,1579
410,34347
410,34349
33257,34353
33257,34355
33257,1587
33257,34356
33257,34358
33257,1591
33257,34360
1203,34371
1203,1603
1203,34373
1203,34374
1203,34375
1203,1607
1203,34376
1203,1610
33918,1627
33918,1630
33918,1632
33918,34403
33918,1636
33918,34408
33918,1640
33918,34409
33918,1642
623,34421
623,34422
623,34423
623,1655
623,1656
623,34425
623,34429
623,34430
751,34432
751,34434
751,1667
751,1668
751,1669
751,1673
751,34442
751,1674
32773,34456
32773,34457
32773,1689
32773,34458
32773,1694
33413,34478
33413,1713
33413,34483
33413,1716
33413,1717
33515,1727
33515,34495
33515,34497
33515,34498
33515,1730
33515,1731
33515,34499
33515,34500
33515,34502
33515,34503
33450,1740
33450,1741
33450,34510
33450,1743
33450,34512
33010,34518
33010,1750
33010,1751
33010,1752
33010,1757
33010,1758
33010,34529
33010,1761
33599,34535
33599,34537
32918,1777
32918,34545
475,1783
475,34552
475,1785
475,34554
475,1786
475,34556
33634,1796
33634,1797
110,1804
110,1805
110,34573
110,34576
110,1808
110,1809
110,34577
33410,1814
33410,1815
33410,34583
33410,34584
33410,1817
33410,34586
33410,1820
33410,34589
33410,1821
33410,1825
417,1836
417,1837
417,1838
417,34607
417,34609
417,34610
417,34612
417,34613
417,34615
32913,1857
32913,1858
32913,34626
32913,1859
32913,34627
32913,34628
32913,1860
32913,1861
921,1869
921,34638
921,1870
921,1871
921,1872
921,34640
921,34641
864,34649
864,1883
864,34652
864,1885
864,34653
864,1886
864,1887
864,34655
864,34658
1140,34671
1140,1904
1140,1905
1140,34673
1140,34675
1140,1908
1140,34677
1140,34678
1140,1912
1140,34681
834,1916
834,34685
834,1917
834,1918
834,1920
834,1921
834,34690
834,1923
834,1924
133,1933
133,34701
133,34702
133,34703
133,1936
133,34708
33462,34710
33462,1944
33462,34713
33462,34714
33462,1947
33462,34715
33462,34717
33518,34722
33518,34723
33518,1955
33518,1959
33518,34727
33828,1969
33828,34737
33828,1970
33828,1972
33828,34740
33828,34742
33828,1974
33828,1975
33654,1983
33654,34753
33654,1985
33654,1986
33654,1987
33654,34758
2,2004
2,2005
2,2006
2,34775
2,2008
2,34776
2,34777
2,2010
2,34781
2,34782
33896,34798
33896,34799
33896,2032
33896,34801
33896,34802
33896,2035
33896,2036
33896,2039
33896,2040
33896,34808
1201,2045
1201,34813
1201,2046
1201,2047
1201,34816
33488,2063
33488,2065
33488,34835
33488,2067
33488,2068
33488,34836
33488,34837
33488,2070
33488,34838
33734,34851
33734,2083
33734,34852
33734,34855
33734,2088
33734,34857
504,34866
504,2099
504,2100
504,2101
504,2102
504,34871
504,2103
504,34874
504,2106
1035,2115
1035,2116
1035,2117
1035,2118
1035,34887
33259,34896
33259,2128
601,2130
601,2131
601,34908
601,2142
32868,2145
32868,34913
32868,34914
32868,2149
32868,34917
32868,34918
32973,34930
32973,2165
32973,34933
32973,2166
32973,34934
32973,34938
32973,34940
32973,34942
33353,2180
33353,34949
33787,2192
33787,2196
33787,34968
731,2202
731,34970
731,2204
731,2205
731,2206
731,34977
731,2209
731,2211
28,34982
28,34983
28,2217
28,34985
341,2226
341,2228
341,2229
778,2236
778,2237
778,35008
778,2240
778,35009
778,2241
778,35010
778,2242
778,35012
33907,2255
33907,2262
33907,2263
33907,35033
33907,2266
33333,35037
33333,2270
33333,2272
33333,35041
33333,2275
33333,35047
33333,2283
1013,2294
1013,2295
1013,35064
1013,2297
1013,35066
1013,35068
1013,2301
1013,35071
1013,2303
1013,35073
32985,35081
32985,2313
32985,35082
32985,2314
32985,35083
32985,2317
33287,2326
33287,2327
33287,2329
33287,35098
33287,35100
33287,2332
33287,35102
33287,35103
33287,35104
851,35112
851,2345
