A_id,B_id
326,33490
326,722
326,33492
326,725
326,33496
326,728
326,731
326,732
33027,736
33027,741
33027,33510
33027,33511
107,33520
107,753
107,33523
107,755
687,33529
687,761
687,762
687,33533
687,33535
687,767
96,785
96,786
96,33555
96,787
96,789
596,801
596,33569
596,33570
596,33571
33326,33582
33326,814
33326,815
471,827
471,33596
471,828
471,831
471,832
471,833
471,33601
471,837
32806,33618
32806,33619
32806,851
32806,852
32806,33620
32806,854
32806,33622
306,33629
306,862
306,33631
306,33632
306,33634
306,868
306,869
306,870
306,873
306,33641
32943,33655
32943,887
32943,888
32943,33656
32943,33657
32943,892
32943,893
206,896
206,33664
206,33665
206,897
206,33666
634,904
634,33673
634,907
634,909
634,33679
634,33681
634,913
634,915
634,33683
622,33690
622,923
622,926
622,927
622,33696
622,928
622,33697
55,934
55,935
55,936
55,937
55,33707
55,939
55,940
415,952
415,33721
623,33734
623,967
623,33735
623,33739
623,974
623,975
623,33744
623,977
33380,982
33380,986
33380,33755
33380,988
33380,33757
33380,991
72,33765
72,997
92,33770
92,1004
92,33773
92,1005
92,33775
92,33778
92,1010
92,1011
242,1016
242,1017
242,33787
242,33789
242,33791
242,1026
242,33795
33210,1037
33210,1038
33210,1039
33394,33816
33394,1048
45,33824
45,33825
45,33831
637,33838
637,33839
390,33847
390,1080
390,33850
390,33851
390,33852
71,1094
71,1095
71,33866
71,1098
71,1099
71,33868
33263,1110
33263,1112
33263,33881
33263,1113
280,33883
280,1117
280,1118
33357,33899
33357,1133
533,33911
533,33912
533,1144
32772,1155
32772,33924
32772,1158
32772,33927
32772,1160
32772,33929
32772,1162
32772,33931
32772,33932
33085,33935
33085,33937
33085,1170
33085,33939
33085,33940
590,33944
590,1177
590,33946
590,1178
33166,33956
33166,1190
33166,33958
33166,1191
33239,1205
33239,1208
33239,33976
33239,1210
33239,1212
33239,1214
137,1226
137,33994
137,33996
137,1229
137,1230
33485,34005
33485,1238
33485,34006
33485,1239
33485,34008
33485,1240
33485,1242
33065,34015
33065,1247
33065,34016
33065,34019
33065,1253
33065,34021
33065,34022
33065,1254
33065,34023
15,1263
15,34032
15,1264
15,34033
575,34041
575,34042
575,1276
32840,1287
32840,34056
32840,1289
32840,1290
32840,34059
33046,34063
33046,1296
33046,34064
33046,34065
33046,1297
33046,34066
33046,34067
33046,34068
33046,1303
32777,1311
32777,1312
32777,34080
32777,34081
32777,34082
32777,34083
32777,1316
32777,1317
495,1324
495,1326
